History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Village - town,Gender
3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,5.0,1,0
3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,4.0,0,1
2.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,5.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,2.0,5.0,3.0,1.0,0,1
5.0,3.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,2.0,1.0,5.0,1.0,5.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,2.0,4.0,3.0,3.0,0,1
4.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,5.0,3.0,3.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,0,1
3.0,4.0,2.0,1.0,1.0,4.175944333996024,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,5.0,0,0
2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,0,0
4.0,5.0,5.0,2.0,1.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,0,0
2.0,2.0,1.0,3.0,1.0,5.0,2.0,5.0,1.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0,1.0,3.0,5.0,1.0,3.0,0,0
3.0,3.0,1.0,2.0,3.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,5.0,0,0
2.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.2730883813306852,3.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,1.0,4.0,2.0,5.0,0,0
5.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,1,1
5.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,1,0
2.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,0,1
4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,0,0
4.0,5.0,3.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,3.0,3.0,5.0,1.0,5.0,0,0
5.0,3.0,5.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,0,0
4.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,3.0,2.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,1.0,0,1
1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,5.0,4.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,2.0,5.0,1,0
4.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,0,0
3.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,2.0,4.0,4.0,1.0,5.0,5.0,3.0,0,1
3.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,5.0,4.0,3.0,1.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,1.0,5.0,1,0
4.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0,5.0,1.0,4.0,1.0,3.0,5.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,5.0,0,0
2.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,0,0
5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,0,1
2.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,0,0
2.0,4.0,2.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,5.0,4.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,0,0
4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1,0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,3.0,5.0,2.0,5.0,1.0,4.0,0,1
4.0,3.0,1.0,2.0,2.0,4.175944333996024,4.0,2.0,2.0,1.0,5.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,5.0,1.0,4.0,5.0,3.2340637450199203,3.0,5.0,5.0,4.0,0,0
2.0,3.0,1.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,5.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,0,0
2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1,0
2.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,5.0,1.0,5.0,0,0
3.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,5.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,0,0
2.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,5.0,5.0,2.0,2.0,3.0,5.0,2.0,4.0,1.0,4.0,0,0
5.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0,1,0
3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,1.0,0,0
5.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,0,0
4.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,1,0
3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,0,0
5.0,5.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,2.0,1.0,5.0,4.0,5.0,2.0,2.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,0,0
3.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,4.0,1.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,3.0,3.0,1,1
4.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0,1
4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,0,1
3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,5.0,0,1
5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,0,1
4.0,2.0,3.0,2.3346573982125123,2.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,4.0,2.0,5.0,5.0,3.0,0,1
1.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,5.0,5.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,0,0
5.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,0,1
3.0,2.0,2.0,5.0,5.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,1,1
2.0,3.0,3.0,4.0,2.0,3.0,1.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,4.0,1,0
2.0,2.0,3.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,1.0,4.0,1,0
2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,3.1593625498007967,1.0,3.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.2340637450199203,3.024950099800399,5.0,1.0,4.0,0,0
2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,3.0,1.0,5.0,5.0,2.0,0,1
5.0,1.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,0,1
3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,2.0,0,0
4.0,3.0,4.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,5.0,0,1
4.0,3.0,5.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,2.0,5.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,0,1
5.0,5.0,4.0,2.0,1.0,5.0,4.0,5.0,4.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,1,1
2.0,2.0,5.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,4.0,3.0,0,1
4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,1.0,0,0
2.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,5.0,2.461767626613704,2.0,3.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,1,0
4.0,3.0,5.0,2.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,4.0,3.0,5.0,4.0,5.0,0,0
5.0,4.0,4.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,5.0,5.0,1.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,0,0
3.0,2.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,5.0,1.0,2.0,3.0,5.0,2.0,5.0,4.0,2.0,0,1
4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0,0,0
3.2073412698412698,2.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,3.0,1.0,1.0,3.3879396984924623,1.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,0,0
5.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,2.6868787276341948,3.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,0,0
4.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,0,1
5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,0,1
5.0,4.0,5.0,2.3346573982125123,1.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0,1.0,4.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,5.0,1.0,2.0,5.0,3.0,4.0,5.0,5.0,3.0,1,0
5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,5.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,0,0
3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,1,0
1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,1,0
1.0,1.0,1.0,1.0,1.0,4.175944333996024,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,4.0,1.0,1,0
4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,0,0
2.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,3.0,1,1
3.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,2.5164179104477613,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,0,1
4.0,4.0,4.0,1.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,0,1
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0,1
3.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,5.0,1,1
1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,1,1
3.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,4.0,0,0
3.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,5.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,0,0
5.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,3.0,1,1
